name,review_count,rating,price,location,latitude,longitude
Richmond Station,904,4.5,$$$,1 Richmond Street W,43.6513729,-79.379285
Mogouyan Hand-Pulled Noodles,65,4.5,$$,124 Dundas St W,43.65573,-79.38449
The Rabbit Hole,35,4.0,,21 Adelaide Street W,43.64995,-79.37976
Hana Don,14,4.5,,128 Dundas Street W,43.65572,-79.38454
Pai Northern Thai Kitchen,3470,4.5,$$,18 Duncan Street,43.64784,-79.38872
Katsuya,496,4.5,$$,66 Gerrard Street E,43.65995,-79.37882
Gyubee Japanese Grill - Dundas,210,4.5,$$$,157 Dundas St W,43.6551427,-79.3857634
Chefs Hall,320,4.0,$$,111 Richmond Street W,43.6503522,-79.3837951
Hendriks Restaurant & Bar,115,4.0,$$$,218 Yonge Street,43.653501,-79.380048
The Senator,492,4.0,$$,249 Victoria Street,43.65574,-79.37896
Haidilao Hot Pot,32,5.0,,237 Yonge Street,43.65463297669771,-79.37983900308609
11:59 Bar:Café,4,4.0,,70 Temperance Street,43.65048541560587,-79.38199128554137
Trios Bistro,22,4.0,$$,525 Bay St,43.6545725,-79.3830233
King Taps,400,4.0,$$,100 King Street W,43.6486379269,-79.3817439
Holy Cow Japanese Steakhouse,157,4.5,$$$,254 Queen Street  W,43.64993,-79.39145
Grandma Loves You,11,4.5,,111 Richmond Street W,43.65030223045267,-79.3839517
Cactus Club Cafe,601,4.0,$$,77 Adelaide Street W,43.64950420768667,-79.38251803088575
The Queen And Beaver Public House,412,4.0,$$,35 Elm Street,43.65734,-79.38334
Moon Palace,60,4.0,,40 Dundas Street W,43.6561951,-79.38240341165705
Liko's Hawaiian BBQ,4,4.0,,,43.6516,-79.38331
